,Date,Close,Adj_Close,PE_LTM,EPS_Est_High_NTM,EPS_Est_Low_NTM,Volume,SI_pc,Vol,n_Buys,n_Sell,n_Hold,Total_Rec,pc_Buy,pc_Sell,pc_Hold
121,7/3/2003,26.5,16.74913585,39.01344565,1.34,0.94,39441216.0,0.953692248,0.294170508,13.0,0.0,2.0,15.0,0.8666666666666667,0.0,0.1333333333333333
122,7/7/2003,27.42,17.33061528,40.36787471,1.34,0.94,89251689.0,0.953692248,0.284213318,13.0,0.0,2.0,15.0,0.8666666666666667,0.0,0.1333333333333333
123,7/8/2003,27.7,17.50758729,40.78009225,1.34,0.94,61963586.0,0.953692248,0.270936755,13.0,0.0,2.0,15.0,0.8666666666666667,0.0,0.1333333333333333
124,7/9/2003,27.47,17.36221743,40.44148498,1.34,0.95,62413900.0,0.953692248,0.276164138,13.0,0.0,2.0,15.0,0.8666666666666667,0.0,0.1333333333333333
125,7/10/2003,26.91,17.00827342,39.61704991,1.34,0.95,55498400.0,0.953692248,0.266901447,13.0,0.0,2.0,15.0,0.8666666666666667,0.0,0.1333333333333333
126,7/11/2003,27.309,17.26045853,40.2044599,1.34,0.95,50386800.0,0.953692248,0.269125604,13.0,0.0,2.0,15.0,0.8666666666666667,0.0,0.1333333333333333
127,7/14/2003,27.4,17.31797443,40.3384306,1.34,0.95,60470938.0,0.953692248,0.269153073,13.0,0.0,2.0,15.0,0.8666666666666667,0.0,0.1333333333333333
128,7/15/2003,27.27,17.23580885,40.14704388,1.38,0.95,53650784.0,0.953692248,0.263301818,13.0,0.0,2.0,15.0,0.8666666666666667,0.0,0.1333333333333333
129,7/16/2003,27.52,17.39381957,40.51509526,1.38,0.95,50506829.0,0.953692248,0.248156666,13.0,0.0,2.0,15.0,0.8666666666666667,0.0,0.1333333333333333
130,7/17/2003,26.69,16.86922399,38.68115942,1.39,0.95,73665517.0,0.953692248,0.265782479,13.0,0.0,2.0,15.0,0.8666666666666667,0.0,0.1333333333333333
131,7/18/2003,26.89,16.99563257,38.97101449,1.17,0.86,63403704.0,0.953692248,0.266459082,13.0,0.0,2.0,15.0,0.8666666666666667,0.0,0.1333333333333333
132,7/21/2003,26.04,16.45839613,37.73913043,1.17,0.86,49062790.0,0.953692248,0.29081778,13.0,0.0,2.0,15.0,0.8666666666666667,0.0,0.1333333333333333
133,7/22/2003,26.38,16.67329071,38.23188406,1.17,0.86,51803002.0,0.953692248,0.29232363,13.0,0.0,2.0,15.0,0.8666666666666667,0.0,0.1333333333333333
134,7/23/2003,26.45,16.71753371,38.33333333,1.17,0.86,49831938.0,0.953692248,0.282017416,13.0,0.0,2.0,15.0,0.8666666666666667,0.0,0.1333333333333333
135,7/24/2003,26.0,16.43311442,37.68115942,1.17,0.86,53573421.0,0.953692248,0.288853551,13.0,0.0,2.0,15.0,0.8666666666666667,0.0,0.1333333333333333
136,7/25/2003,26.89,16.99563257,38.97101449,1.17,0.86,54185086.0,0.953692248,0.302799445,13.0,0.0,3.0,16.0,0.8125,0.0,0.1875
137,7/28/2003,26.61,16.81866057,38.56521739,1.17,0.86,52711820.0,0.953692248,0.300192813,13.0,0.0,3.0,16.0,0.8125,0.0,0.1875
138,7/29/2003,26.47,16.73017457,38.36231884,1.17,0.86,62427090.0,0.953692248,0.300358134,13.0,0.0,3.0,16.0,0.8125,0.0,0.1875
139,7/30/2003,26.23,16.57848428,38.01449275,1.17,0.86,41252147.0,0.953692248,0.302608362,13.0,0.0,3.0,16.0,0.8125,0.0,0.1875
140,7/31/2003,26.41,16.69225199,38.27536232,1.17,0.86,64532271.0,0.953692248,0.295846613,13.0,0.0,3.0,16.0,0.8125,0.0,0.1875
141,8/1/2003,26.17,16.54056171,37.92753623,1.17,0.86,43200258.0,0.953692248,0.280450027,13.0,0.0,3.0,16.0,0.8125,0.0,0.1875
142,8/4/2003,26.18,16.54688214,37.94202899,1.17,0.86,51837768.0,0.953692248,0.276480084,13.0,0.0,3.0,16.0,0.8125,0.0,0.1875
143,8/5/2003,25.66,16.21821985,37.1884058,1.17,0.86,58918339.0,0.953692248,0.25354551,13.0,0.0,3.0,16.0,0.8125,0.0,0.1875
144,8/6/2003,25.65,16.21189942,37.17391304,1.17,0.86,56301022.0,0.953692248,0.249158726,13.0,0.0,3.0,16.0,0.8125,0.0,0.1875
145,8/7/2003,25.71,16.24982199,37.26086957,1.17,0.86,44295184.0,0.953692248,0.249378055,13.0,0.0,3.0,16.0,0.8125,0.0,0.1875
146,8/8/2003,25.58,16.16765642,37.07246377,1.17,0.86,33329526.0,0.953692248,0.241365201,13.0,0.0,3.0,16.0,0.8125,0.0,0.1875
147,8/11/2003,25.61,16.1866177,37.11594203,1.17,0.86,36438582.0,0.953692248,0.233689725,13.0,0.0,4.0,17.0,0.7647058823529411,0.0,0.2352941176470588
148,8/12/2003,25.73,16.26246285,37.28985507,1.17,0.86,38219342.0,0.953692248,0.234199935,13.0,0.0,4.0,17.0,0.7647058823529411,0.0,0.2352941176470588
149,8/13/2003,25.6,16.18029727,37.10144928,1.17,0.86,39689032.0,0.953692248,0.234231709,13.0,0.0,4.0,17.0,0.7647058823529411,0.0,0.2352941176470588
150,8/14/2003,25.63,16.19925856,37.14492754,1.17,0.86,37416724.0,0.953692248,0.230632276,13.0,0.0,4.0,17.0,0.7647058823529411,0.0,0.2352941176470588
151,8/15/2003,25.54,16.1423747,37.01449275,1.17,0.86,27613331.0,0.953692248,0.208336131,13.0,0.0,4.0,17.0,0.7647058823529411,0.0,0.2352941176470588
152,8/18/2003,25.7,16.24350156,37.24637681,1.17,0.86,45970005.0,0.953692248,0.207672165,13.0,0.0,4.0,17.0,0.7647058823529411,0.0,0.2352941176470588
153,8/19/2003,26.62,16.82498099,38.57971014,1.17,0.86,73001490.0,0.953692248,0.215992759,13.0,0.0,4.0,17.0,0.7647058823529411,0.0,0.2352941176470588
154,8/20/2003,26.45,16.71753371,38.33333333,1.17,0.86,56805847.0,0.953692248,0.212924046,13.0,0.0,4.0,17.0,0.7647058823529411,0.0,0.2352941176470588
